"idade","sexo","est_civil","raca","escola","lingua_estr","nota_CN","nota_CH","nota_LC","nota_MT","nota_RD","ESC_pai","ESC_mae","renda_fam"
20,"F","solteiro","branco","não espondeu",0,576.5,607.8,610.1,453.6,880,"sim","não","G"
49,"F","casado","pardo","não espondeu",1,462,529.2,563,533.5,560,"não","não","C"
31,"M","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
37,"F","casado","pardo","não espondeu",1,491.7,527.3,519.1,465.1,560,"não","não","D"
23,"F","casado","pardo","não espondeu",1,419,547.3,515.6,533.6,520,"não","não","E"
17,"F","solteiro","pardo","pública",0,388.3,464.6,554.9,532.8,560,"não","não","D"
21,"F","solteiro","pardo","não espondeu",1,412,501.9,539.7,419.5,600,"não","não","F"
20,"F","solteiro","branco","não espondeu",0,607.8,631.8,614.8,767.3,900,"não","não","D"
19,"F","solteiro","pardo","não espondeu",1,395.2,466.9,328.8,387.4,600,"não","não","C"
41,"F","casado","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
23,"F","solteiro","branco","não espondeu",0,587.4,626.5,618.5,531,680,"não","sim","I"
19,"F","NI","pardo","não espondeu",0,621.4,609.3,612.9,723.9,840,"não","não","O"
35,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
25,"M","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","E"
23,"F","solteiro","branco","não espondeu",1,456.1,550.1,557.7,452,800,"não","não","E"
21,"M","solteiro","negro","não espondeu",0,422.6,373.2,492.2,404.9,720,"não","não","E"
36,"F","casado","pardo","não espondeu",1,523.4,509.1,568.9,494.8,720,"não","não","F"
20,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não sabe","não","H"
43,"M","casado","pardo","não espondeu",1,567.6,623.4,520.2,561.4,560,"não","não","F"
18,"F","solteiro","branco","pública",0,423.2,564.5,552.2,485.3,580,"não","não","F"
23,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
26,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
21,"F","solteiro","amarelo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
19,"M","solteiro","negro","não espondeu",0,624,661.8,641.9,723.1,680,"sim","sim","P"
18,"F","solteiro","pardo","pública",1,NA,NA,NA,NA,NA,"não","não","D"
40,"F","solteiro","negro","não espondeu",0,NA,NA,NA,NA,NA,"não","não","B"
19,"F","solteiro","pardo","não espondeu",0,581.7,617.9,578.2,726.2,880,"não","não","C"
18,"F","solteiro","branco","não espondeu",0,605.9,632.4,648.4,716.9,880,"sim","sim","Q"
46,"F","casado","pardo","não espondeu",0,562.3,655.5,577.1,496.4,620,"não","não","C"
19,"M","solteiro","branco","não espondeu",1,354.2,470.8,536.8,707.8,600,"não sabe","não","C"
32,"F","solteiro","negro","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
31,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
18,"F","solteiro","pardo","não espondeu",0,444.8,554.9,533.5,443.4,600,"não","não","C"
21,"F","solteiro","pardo","não espondeu",0,NA,418.2,531,NA,480,"não","não","B"
30,"F","solteiro","pardo","não espondeu",0,500.1,500.5,430.1,479.1,720,"não","não","B"
22,"F","casado","branco","não espondeu",0,459.7,552.3,592.7,441.9,480,"não","não","C"
23,"M","solteiro","branco","não espondeu",1,408.6,524.4,539,464.3,580,"não","não","C"
19,"F","solteiro","pardo","não espondeu",1,482.3,534.2,527.3,596,660,"não","não","E"
34,"M","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","B"
21,"F","NI","ND","não espondeu",1,554.2,549.1,540.3,513.3,600,"não","não","E"
16,"M","solteiro","branco","não espondeu",0,567.8,551.9,592,580.6,820,"sim","sim","E"
24,"F","solteiro","negro","não espondeu",1,361.1,389.2,390.9,488.6,240,"não","não","B"
20,"F","solteiro","branco","pública",0,609.6,586.7,573.8,761.5,660,"não","sim","H"
18,"M","solteiro","branco","pública",0,735.4,709.4,661,909,960,"sim","sim","M"
19,"M","solteiro","pardo","não espondeu",0,555.6,490,534.3,593.3,620,"não sabe","não sabe","C"
19,"F","solteiro","pardo","pública",0,544.8,586.3,483.9,571.5,680,"não","não","D"
18,"F","solteiro","branco","pública",0,444.5,550.9,557.2,443.3,600,"sim","sim","G"
22,"M","solteiro","negro","não espondeu",1,NA,444.3,493,NA,500,"não","não","B"
22,"F","solteiro","branco","não espondeu",0,NA,408.3,506.9,NA,540,"não sabe","não","D"
49,"M","casado","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
30,"M","solteiro","pardo","não espondeu",1,470,543.9,504.9,552.1,440,"não","sim","E"
29,"F","solteiro","pardo","não espondeu",1,413,544.1,519.3,538.3,600,"não","sim","C"
18,"M","solteiro","branco","pública",0,488.1,442.9,453.7,531,520,"sim","sim","I"
18,"M","solteiro","negro","pública",1,NA,NA,NA,NA,NA,"não","não","B"
19,"M","solteiro","negro","não espondeu",0,610.9,566,562.2,575.9,820,"não","não","F"
18,"M","solteiro","pardo","pública",1,562.1,603,564.5,513.5,580,"não","não","D"
17,"F","solteiro","ND","pública",0,615,614.7,603.5,662,860,"não","sim","F"
39,"F","solteiro","branco","não espondeu",1,NA,NA,NA,NA,NA,"não","não","B"
50,"F","solteiro","branco","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
18,"F","solteiro","branco","pública",0,442.3,571.2,552.3,525.7,920,"não sabe","não","C"
29,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
24,"M","solteiro","negro","não espondeu",0,619,672.7,610.6,824.2,840,"não sabe","não","E"
16,"F","solteiro","pardo","não espondeu",0,547.9,595,590.1,439.5,680,"não","sim","C"
21,"F","solteiro","negro","pública",1,NA,NA,NA,NA,NA,"não","não","C"
35,"M","casado","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","H"
46,"M","NI","branco","não espondeu",0,585.8,631.6,601,620.5,540,"não","sim","E"
22,"F","solteiro","negro","não espondeu",1,420.2,491,512.9,573.8,680,"não","não","D"
30,"F","casado","pardo","não espondeu",1,NA,345.7,329.9,NA,560,"não","não","B"
20,"M","solteiro","negro","não espondeu",0,559.2,544.3,582,601.8,600,"não","não","D"
18,"M","solteiro","branco","não espondeu",1,538.7,565.7,534,570.1,540,"sim","não","G"
22,"F","solteiro","branco","não espondeu",0,639.3,671.7,612.1,828.1,940,"não","não","M"
20,"M","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
17,"F","solteiro","branco","pública",1,543,577.3,569.3,617.8,560,"sim","sim","H"
18,"F","solteiro","branco","não espondeu",0,615.5,646.2,687.3,730.1,840,"não","não","G"
19,"F","solteiro","amarelo","não espondeu",0,NA,NA,NA,NA,NA,"não sabe","não","C"
30,"M","casado","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","D"
30,"M","solteiro","branco","não espondeu",1,527.6,548.7,552.8,498.3,500,"não","não","B"
27,"F","casado","amarelo","não espondeu",1,556.1,568.9,524.5,615.9,660,"não","não","G"
18,"F","solteiro","pardo","pública",0,444.6,407.6,517.5,498.9,300,"não","sim","E"
17,"M","solteiro","pardo","pública",0,591,558.1,589.5,725.5,740,"não","não","I"
23,"M","solteiro","branco","não espondeu",0,507.1,405,479.6,392.8,500,"não","não","D"
19,"F","solteiro","pardo","pública",0,589.7,588.9,613.6,692.3,860,"não","não","G"
